question_id,subject_code,exam_year,exam_session,question_text,mapped_l1_code,mapped_l1_name,mapped_l2_code,mapped_l2_name,mapped_l3_code,mapped_l3_name,mapping_depth,confidence,mapping_reason,keywords,needs_review
A1-001,A1,114,第四梯次,在人工智慧系統的決策流程中，下列哪一種情境最符合「人在迴圈上（Human-over-the-loop）」所強調的監督機制？,L11,人工智慧基礎概論,L111,人工智慧概念,L11102,AI治理概念,L3,0.95,命中 AI治理概念 的明確關鍵詞,"Human-over-the-loop,人在迴圈,人在迴圈上,監督機制",FALSE
A1-002,A1,114,第四梯次,下列哪一種特徵工程技巧，最適合將「星期幾」和「24 小時制時間」這兩個欄位結合，以預測通勤時間？,L11,人工智慧基礎概論,L112,資料處理與分析概念,L11202,資料整理與分析流程,L3,0.95,命中 資料整理與分析流程 的明確關鍵詞,"Feature Cross,Normalization,One-hot,正規化,特徵交叉,特徵工程",FALSE
A1-003,A1,114,第四梯次,關於 ETL（Extract-Transform-Load），下列敘述何者為正確？,L11,人工智慧基礎概論,L112,資料處理與分析概念,L11202,資料整理與分析流程,L3,0.85,命中 資料整理與分析流程 的明確關鍵詞,ETL,FALSE
A1-004,A1,114,第四梯次,關於資料正則化（Regularization）L1、L2方法，下列敘述何者正確？,L11,人工智慧基礎概論,L112,資料處理與分析概念,L11202,資料整理與分析流程,L3,0.95,命中 資料整理與分析流程 的明確關鍵詞,"Regularization,正則化",FALSE
A1-005,A1,114,第四梯次,在機器學習中，「偏差與變異權衡（Bias-Variance Tradeoff）」主要用來解決下列哪一類型的問題？,L11,人工智慧基礎概論,L113,機器學習概念,L11301,機器學習基本原理,L3,0.7,多數線索指向 機器學習基本原理,"欠擬合,泛化",FALSE
A1-006,A1,114,第四梯次,在 Lasso 模型中，L1 正則化（Regularization）導致參數收斂為零的原因為何？,L11,人工智慧基礎概論,L112,資料處理與分析概念,L11202,資料整理與分析流程,L3,0.95,命中 資料整理與分析流程 的明確關鍵詞,"Regularization,正則化",FALSE
A1-007,A1,114,第四梯次,貝氏分類器（Naive Bayes Classifier）常被應用於文字分類、垃圾郵件過濾等場景。依據模型特性，它最適合歸類於下列哪一類？,L11,人工智慧基礎概論,L113,機器學習概念,L11302,常見的機器學習模型,L3,0.95,命中 常見的機器學習模型 的明確關鍵詞,"Naive Bayes,貝氏分類器",FALSE
A1-008,A1,114,第四梯次,為提升生成式 AI系統回應的語境一致性，常會結合哪類模型技術？,L11,人工智慧基礎概論,L113,機器學習概念,L11302,常見的機器學習模型,L3,0.7,多數線索指向 常見的機器學習模型,"Decision Tree,決策樹",FALSE
A1-009,A1,114,第四梯次,根據 2025年 9月行政院通過之《人工智慧基本法》草案，政府推動人工智慧之「創新實驗環境」制度，主要參考歐盟的何種制度？,L11,人工智慧基礎概論,L111,人工智慧概念,L11102,AI治理概念,L3,0.95,命中 AI治理概念 的明確關鍵詞,"人工智慧基本法,創新實驗環境",FALSE
A1-010,A1,114,第四梯次,根據《金融機構運用人工智慧技術作業規範》，金融機構須建立內部治理架構，並指定專責單位或人員負責推動及管理人工智慧事務，下列何者並非規範所明訂須落實的治理措施？,L11,人工智慧基礎概論,L111,人工智慧概念,L11102,AI治理概念,L3,0.85,命中 AI治理概念 的明確關鍵詞,金融機構運用人工智慧,FALSE
