編號,分類,對應PDF,PDF題號,PDF頁碼,內嵌圖片數,圖片尺寸,題幹提及圖表,題組,共用圖數,自有圖數,CSV是否文字補寫,內容判定,風險,PDF題幹
A1-005,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,5,1,0,(無內嵌點陣圖：向量圖或文字表格),是,,0,0,否,PASS,高：CSV 無圖，作答資訊不足,在機器學習中，「偏差與變異權衡（Bias-VarianceTradeoff）」主要用來解決下列哪一類型的問題？
A1-026,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,26,6,0,(無內嵌點陣圖：向量圖或文字表格),是,,0,0,否,PASS,高：CSV 無圖，作答資訊不足,在深度學習模型的微調（Fine-tuning）過程中，可能出現所謂的「災難性遺忘（CatastrophicForgetting）」。此現象最可能造成哪種情況？
A2-001,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,1,1,0,(無內嵌點陣圖：向量圖或文字表格),是,,0,0,否,PASS,高：CSV 無圖，作答資訊不足,在LowCode平台的開發應用設計中，關於「模型（Model）」，下列敘述何者最符合實際情況？
A2-007,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,7,2,0,(無內嵌點陣圖：向量圖或文字表格),是,,0,0,否,PASS,高：CSV 無圖，作答資訊不足,某團隊希望讓AI自動查詢GitHub上的程式碼庫，並生成摘要給使用者參考。開發者決定透過ModelContextProtocol（MCP）來實現，AI需先發出請求，再經由MCP架構逐步完成查詢與回傳。
A2-013,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,13,3,0,(無內嵌點陣圖：向量圖或文字表格),是,,0,0,否,PASS,高：CSV 無圖，作答資訊不足,關於GitHubCopilot，下列敘述何者正確？
A2-043,A2,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,43,11,0,(無內嵌點陣圖：向量圖或文字表格),是,,0,0,否,PASS,高：CSV 無圖，作答資訊不足,在評估大型語言模型，例如7B、13B、175B參數規模時，模型規模對基準測試（Benchmark）結果的影響，下列哪一種說法最為恰當？
B1-014,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,14,4,0,(無內嵌點陣圖：向量圖或文字表格),是,,0,0,否,PASS,高：CSV 無圖，作答資訊不足,在調整模型超參數（Hyperparameters）時，若希望避免因過度調整參數而導致過擬合，下列哪一種做法最有效提升模型的泛化能力？
B1-029,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,29,8,0,(無內嵌點陣圖：向量圖或文字表格),是,,0,0,否,PASS,高：CSV 無圖，作答資訊不足,"某AI開發團隊為提升模型開發效率及品質控制，計畫實施持續整合（ContinuousIntegration,CI）流程。下列哪一項做法最符合CI的核心實踐，且能有效減少整合風險？"
B1-036,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,36,9,0,(無內嵌點陣圖：向量圖或文字表格),是,,0,0,否,PASS,高：CSV 無圖，作答資訊不足,某資料科學團隊在開發預測模型時，針對多種模型設定（如學習率、樹深度、正則化係數等）進行系統化測試，希望找出在驗證資料上表現最穩定的組合。此過程最可能採用下列哪一種方法？
B2-003,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,3,1,1,960x631,是,,0,1,是,FAIL,中：CSV 已文字補寫，需人工核對正確性,附圖為某資料之分佈圖，此圖資料之偏態（Skewness）值較有可能為下列哪個選項？
