編號,分類,題號,文件名稱,題目,選項1,選項2,選項3,選項4,正確答案
A1-001,A1,001,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,在人工智慧系統的決策流程中，下列哪一種情境最符合「人在迴圈上（Human-over-the-loop）」所強調的監督機制？,(1) AI系統只能提供建議，人類需主動下達命令才能進行決策,(2) 人類對 AI的運行進行日常監督，必要時可立即介入修正或干預,(3) 人類平時不參與 AI 的運作，僅在發生異常或重大錯誤時才接手控制,(4) AI的所有判斷與行動在執行前，皆須經過人類逐一審核與批准,2
A1-002,A1,002,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,下列哪一種特徵工程技巧，最適合將「星期幾」和「24 小時制時間」這兩個欄位結合，以預測通勤時間？,(1) One-hot 編碼（One-hot encoding）,(2) 正規化（Normalization）,(3) 特徵交叉（Feature Cross）,(4) 寬深模型（Wide and Deep）,3
A1-003,A1,003,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,關於 ETL（Extract-Transform-Load），下列敘述何者為正確？,(1) E表示將資料直接儲存至目標儲存庫,(2) ETL的處理順序可以自由調整為 TEL,(3) L表示將目標儲存庫經過反加密處理載入資料,(4) T包括資料的清理與排序,4
A1-004,A1,004,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,關於資料正則化（Regularization）L1、L2方法，下列敘述何者正確？,(1) L1權重個數愈多，愈可以提升模型的正確率,(2) L2稱為 Lasso正則化,(3) L1運用減少權重的絕對值來控制模型的複雜度,(4) L2較 L1 正則化方法會將特徵權重趨近於零,3
A1-005,A1,005,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,在機器學習中，「偏差與變異權衡（Bias-Variance Tradeoff）」主要用來解決下列哪一類型的問題？,(1) 因資料來源或收集方式限制，導致模型學習到的資訊不足,(2) 測試資料樣本與訓練資料高度重複，造成模型泛化能力評估失準,(3) 訓練資料中類別分布不均，使模型在少數類別上表現不佳,(4) 如何在模型偏差與變異之間取得平衡，以避免過度擬合或欠擬合,4
A1-006,A1,006,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,在 Lasso 模型中，L1 正則化（Regularization）導致參數收斂為零的原因為何？,(1) L1正則化忽略目標變數,(2) L1對梯度有平滑作用,(3) L1對大係數懲罰較強，促使稀疏解,(4) L1會轉換損失函數為非凸形,3
A1-007,A1,007,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,貝氏分類器（Naive Bayes Classifier）常被應用於文字分類、垃圾郵件過濾等場景。依據模型特性，它最適合歸類於下列哪一類？,(1) 透過直接學習輸入特徵與目標標籤之間的邊界或關係來進行分類的模型,(2) 透過建構資料的整體分布，並利用條件關係進行推斷和分類的模型,(3) 側重探索資料中樣本間的相似性，將資料自動分成不同群組的模型,(4) 透過試錯學習，根據行動結果的獎勵或懲罰來優化決策策略的模型,2
A1-008,A1,008,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,為提升生成式 AI系統回應的語境一致性，常會結合哪類模型技術？,(1) 決策樹分類器（Decision Tree Classifier）,(2) 條件語言模型（Conditional Language Model）,(3) 強化學習 Q-learning函數模型,(4) 基因演算法（Genetic Algorithm）,2
A1-009,A1,009,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,根據 2025年 9月行政院通過之《人工智慧基本法》草案，政府推動人工智慧之「創新實驗環境」制度，主要參考歐盟的何種制度？,(1) Data Protection Impact Assessment,(2) Regulatory Sandbox,(3) AI Trust Label,(4) AI Ethics Review Board,2
A1-010,A1,010,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,根據《金融機構運用人工智慧技術作業規範》，金融機構須建立內部治理架構，並指定專責單位或人員負責推動及管理人工智慧事務，下列何者並非規範所明訂須落實的治理措施？,(1) 辦理人工智慧人才培育,(2) 清楚了解生成式 AI 技術之運作模式,(3) 每日公布人工智慧系統運作狀況,(4) 指派高階主管或委員會進行監督管理,3
