編號,分類,題組,現況圖片檔,共用此檔的題號,正確圖片檔,判定,題幹
B1-069,B1,,B1-069.png,,fig_B1-069.png,✅ 專屬檔案，題號對應正確,一家電商公司已將推薦系統AI模型上線三個月，業務主管要求專案團隊評估導入成效。團隊根據下圖數據得出結論：「因為AUC高達0.91，模型表現優
B2-003,B2,,B2-003.png,,fig_B2-003.png,✅ 專屬檔案，題號對應正確,附圖為某資料之分佈圖，此圖資料之偏態（Skewness）值較有可能為下列哪個選項？
B2-040,B2,,B2-040.png,,fig_B2-040.png,✅ 專屬檔案，題號對應正確,請參考附圖，下列虛擬程式碼（pseudocode）最可能是在描述何種驗證法？
B2-041,B2,,B2-041.png,,fig_B2-041.png,✅ 專屬檔案，題號對應正確,請參考附圖，下列虛擬程式碼（pseudocode）最可能是在描述何種演算法？
B2-042,B2,,B2-042.png,,fig_B2-042.png,✅ 專屬檔案，題號對應正確,考慮某生產線每小時出現瑕疵品的個數符合卜瓦松分佈（PoissonDistribution），已知平均每小時產生5個瑕疵品，附圖程式碼展示資料
B2-043,B2,第43~47題,G_B2-043_p14.png,,fig_G_B2-043_p13.png;fig_G_B2-043_p14.png,✅ 專屬檔案，題號對應正確,分析師在載入資料後，檢視Year欄位的資料型態，發現它是float64，而非一般年份常用的整數。他想了解這樣的情形為什麼會發生。請問下列哪些
B2-044,B2,第43~47題,G_B2-043_p14.png,,fig_G_B2-043_p13.png;fig_G_B2-043_p14.png,✅ 專屬檔案，題號對應正確,研究團隊接下來想要將Year欄位轉換為整數型態，以便後續進行年份趨勢分析。考慮到資料中可能包含缺失值（NaN），請選出最合適的轉換方式。
B2-045,B2,第43~47題,G_B2-043_p14.png,,fig_G_B2-043_p13.png;fig_G_B2-043_p14.png,✅ 專屬檔案，題號對應正確,為了觀察各遊戲平台的市場表現，分析師想要統計每個平台的全球銷售總額，並以長條圖呈現。請選出最能正確實現此分析的程式碼。
B2-046,B2,第43~47題,G_B2-043_p14.png,,fig_G_B2-043_p13.png;fig_G_B2-043_p14.png,✅ 專屬檔案，題號對應正確,團隊希望比較北美、歐洲、日本及其他地區的整體銷售比例，並使用seaborn套件以長條圖的形式進行可視化分析。請選出能正確顯示這些地區銷售總額
B2-047,B2,第43~47題,G_B2-043_p14.png,,fig_G_B2-043_p13.png;fig_G_B2-043_p14.png,✅ 專屬檔案，題號對應正確,研究團隊想要知道在北美地區（NA）銷售成績最好的遊戲前五名，並希望以seaborn的條狀圖呈現結果。請選出能正確完成這項分析的程式碼。
B2-048,B2,第48~50題,G_B2-048_p16.png,,fig_G_B2-048_p15.png;fig_G_B2-048_p16.png,✅ 專屬檔案，題號對應正確,根據上述結果，下列何者正確？
B2-049,B2,第48~50題,B2-049.png,,fig_G_B2-048_p15.png;fig_G_B2-048_p16.png;fig_B2-049.png,✅ 專屬檔案，題號對應正確,參考下圖計算各變數的遺漏值(NaN)個數結果，下列何者正確？選項A:df.isnull().sum()選項B:df.isNaN().sum(
