編號,分類,對應PDF,PDF題號,CSV題號,內容判定,答案判定,溯源判定,題號判定,顯示判定,圖片依賴,內嵌圖片數,差異類型,內容差異明細,其他問題,差異摘要
A1-001,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,1,1,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A1-002,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,2,2,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A1-003,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,3,3,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A1-004,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,4,4,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A1-005,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,5,5,PASS,PASS,PASS,PASS,PASS,是,0,-,完全一致,-,
A1-006,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,6,6,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A1-007,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,7,7,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A1-008,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,8,8,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A1-009,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,9,9,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A1-010,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,10,10,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A1-011,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,11,11,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A1-012,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,12,12,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A1-013,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,13,13,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A1-014,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,14,14,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A1-015,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,15,15,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
A1-016,A1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,16,16,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
