編號,分類,對應PDF,PDF題號,圖片數,圖片檔名,題幹
B1-069,B1,115年第一次中級AI應用規劃師_第一科_人工智慧技術應用與規劃_公告試題_20260615003359.pdf,19,1,B1-069.png,一家電商公司已將推薦系統AI模型上線三個月，業務主管要求專案團隊評估導入成效。團隊根據下圖數據得出結論：「因為AUC高達0.91，模型表現優異，AI導入成效良好
B2-003,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,3,1,B2-003.png,附圖為某資料之分佈圖，此圖資料之偏態（Skewness）值較有可能為下列哪個選項？
B2-040,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,40,1,B2-040.png,請參考附圖，下列虛擬程式碼（pseudocode）最可能是在描述何種驗證法？
B2-041,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,41,1,B2-041.png,請參考附圖，下列虛擬程式碼（pseudocode）最可能是在描述何種演算法？
B2-042,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,42,1,B2-042.png,考慮某生產線每小時出現瑕疵品的個數符合卜瓦松分佈（PoissonDistribution），已知平均每小時產生5個瑕疵品，附圖程式碼展示資料處理，請問下列敘述何
B2-043,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,43,1,B2-043.png,分析師在載入資料後，檢視Year欄位的資料型態，發現它是float64，而非一般年份常用的整數。他想了解這樣的情形為什麼會發生。請問下列哪些原因可能導致這種狀況
B2-047,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,47,1,B2-047.png,研究團隊想要知道在北美地區（NA）銷售成績最好的遊戲前五名，並希望以seaborn的條狀圖呈現結果。請選出能正確完成這項分析的程式碼。
B2-049,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,49,1,B2-049.png,參考下圖計算各變數的遺漏值(NaN)個數結果，下列何者正確？選項A:df.isnull().sum()選項B:df.isNaN().sum()選項C:df.is
B2-050,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,50,1,B2-050.png,"考慮資料集已經填補遺漏值，參考下圖執行結果，下列何者正確？A：空格1完整語法reg=LinearRegression().fit(y,X)B：空格1完整語法re"
B2-052,B2,115年第一次中級AI應用規劃師_第二科_大數據處理分析與應用_公告試題_20260615003417.pdf,2,1,B2-052.png,下圖為吉尼不純度（GiniImpurity）的計算公式，在決策樹（DecisionTree）中，吉尼不純度用於評估節點分裂的品質。關於吉尼不純度，下列敘述何者不
B2-058,B2,115年第一次中級AI應用規劃師_第二科_大數據處理分析與應用_公告試題_20260615003417.pdf,8,1,B2-058.png,某咖啡店聲稱其平均外送時間為36分鐘，母體標準差為16分鐘。顧客保護團體抽樣9筆訂單，發現平均外送時間為40分鐘。若採用右尾Z檢定（H₁:μ>36），顯著水準α
B2-069,B2,115年第一次中級AI應用規劃師_第二科_大數據處理分析與應用_公告試題_20260615003417.pdf,19,1,B2-069.png,下圖表為電商平台某時段的交易紀錄（共8筆訂單），對圖表內的資料執行Apriori演算法，設定最低支援度為3。請問最終保留下來的最大頻繁項目集為何？
B2-073,B2,115年第一次中級AI應用規劃師_第二科_大數據處理分析與應用_公告試題_20260615003417.pdf,23,1,B2-073.png,"ReceiverOperatingCharacteristic（ROC）曲線係由單一分類模型在不同決策閾值下形成，並以真陽率（TruePositiveRate,"
B2-089,B2,115年第一次中級AI應用規劃師_第二科_大數據處理分析與應用_公告試題_20260615003417.pdf,39,1,B2-089.png,在建構自動化資料清洗管線時，工程師撰寫一個用於補齊缺失欄位的Python函式，如下圖所示。當此函式連續處理兩筆獨立的資料（row1與row2）後，請問第二筆資料
B2-090,B2,115年第一次中級AI應用規劃師_第二科_大數據處理分析與應用_公告試題_20260615003417.pdf,40,1,B2-090.png,下圖為一段分類演算法的pseudocode，請問最可能對應下列哪一種演算法？
B2-091,B2,115年第一次中級AI應用規劃師_第二科_大數據處理分析與應用_公告試題_20260615003417.pdf,41,1,B2-091.png,資料分析師使用Python檢視daily_earnings欄位的基本統計量，執行以下程式碼（Pandas2以上版本）：輸出結果如下：●mean：223.4113
B2-093,B2,115年第一次中級AI應用規劃師_第二科_大數據處理分析與應用_公告試題_20260615003417.pdf,43,1,B2-093.png,平台安全部門發現，僅有極少數司機（約占總體0.05%）會利用外掛程式竄改gps_ping_rate，以騙取里程補貼。某新進資料科學家訓練了一個二元分類模型，並在
B2-099,B2,115年第一次中級AI應用規劃師_第二科_大數據處理分析與應用_公告試題_20260615003417.pdf,49,3,B2-099.png,在進行機器學習建模前，資料分析師已完成資料前處理（包含遺漏值處理與特徵標準化），並準備建立分類模型。已知資料流程如下：1.將資料區分為訓練集與測試集2.建立羅吉
B2-100,B2,115年第一次中級AI應用規劃師_第二科_大數據處理分析與應用_公告試題_20260615003417.pdf,50,1,B2-100.png,參考下圖程式碼，下列描述何者正確？
B3-038,B3,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,38,1,B3-038.png,附圖程式碼所計算的是哪一類型的評估指標？
B3-039,B3,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,39,1,B3-039.png,附圖程式碼實現的是哪一種正則化技術？
