對應PDF,分類,PDF頁數,CSV題數,PDF題數,題數相符,文件名稱可溯源,內容PASS,內容FAIL,CSV文件名稱
114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,B1,14,50,50,是,是,49,1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf
114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,B3,19,50,50,是,是,34,16,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf
114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,B2,17,50,50,是,是,10,40,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf
114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf,A1,13,50,50,是,是,49,1,114年第四梯次初級AI應用規劃師第一科人工智慧基礎概論(當次試題公告114_20251226000442.pdf
114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,A2,13,50,50,是,是,50,0,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf
115年第一次中級AI應用規劃師_第一科_人工智慧技術應用與規劃_公告試題_20260615003359.pdf,B1,15,50,50,是,否,36,14,115年第一次中級AI應用規劃師第一科人工智慧技術應用與規劃公告試題
115年第一次中級AI應用規劃師_第三科_機器學習技術與應用_公告試題_20260615003428.pdf,B3,18,50,50,是,否,31,19,115年第一次中級AI應用規劃師第三科機器學習技術與應用公告試題
115年第一次中級AI應用規劃師_第二科_大數據處理分析與應用_公告試題_20260615003417.pdf,B2,17,50,50,是,否,33,17,115年第一次中級AI應用規劃師第二科大數據處理分析與應用公告試題
115年第一次初級AI應用規劃師_第一科_人工智慧基礎概論_公告試題_20260410164304.pdf,A1,12,50,50,是,是,50,0,115年第一次初級AI應用規劃師_第一科_人工智慧基礎概論_公告試題_20260410164304.pdf
115年第一次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260410164328.pdf,A2,11,50,50,是,是,49,1,115年第一次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260410164328.pdf
115年第二次初級AI應用規劃師_第一科_人工智慧基礎概論_公告試題_20260604212644.pdf,A1,13,50,50,是,否,38,12,115年第二次初級AI應用規劃師第一科人工智慧基礎概論公告試題
115年第二次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260604212719.pdf,A2,13,50,50,是,否,38,12,115年第二次初級AI應用規劃師第二科生成式AI應用與規劃公告試題
