指標 / 項目,數值或說明
,
一、A1（人工智慧基礎概論） L3 分布,
L11101 AI的定義與分類,5
L11102 AI治理概念,14
L11201 資料基本概念與來源,4
L11202 資料整理與分析流程,22
L11203 資料隱私與安全,3
L11301 機器學習基本原理,19
L11302 常見的機器學習模型,19
L11402 鑑別式AI與生成式AI的整合應用,10
未對應到 L3（保守於 L1/L2）,4
,
二、A2（生成式AI應用與規劃） L3 分布,
L12101 No Code / Low Code的基本概念,11
L12102 No Code / Low Code的優勢與限制,1
L12201 生成式AI應用領域與常見工具,10
L12202 如何善用生成式AI工具,14
L12301 生成式AI導入評估,8
L12302 生成式AI導入規劃,34
L12303 生成式AI風險管理,20
未對應到 L3（保守於 L1/L2）,2
,
三、兩次初階考試在分類上的差異（題數）,
,
(未到 L2),1
L111 人工智慧概念,9
L112 資料處理與分析概念,15
L113 機器學習概念,21
L114 鑑別式 AI 與生成式 AI 概念,4
,
L121 No code / Low code 概念,3
L122 生成式 AI 應用領域與工具使用,12
L123 生成式 AI 導入評估規劃,35
,
(未到 L2),2
L111 人工智慧概念,10
L112 資料處理與分析概念,14
L113 機器學習概念,18
L114 鑑別式 AI 與生成式 AI 概念,6
,
L121 No code / Low code 概念,11
L122 生成式 AI 應用領域與工具使用,12
L123 生成式 AI 導入評估規劃,27
,
四、需人工複查（needs_review = TRUE）的題目,
question_id,reason
A1-032,統計推論題，初級綱要無對應細項
A1-052,智慧城市 IoT/AI 應用情境，初級無對應細項
A1-068,二分搜尋演算法非簡章主題
,
五、官方分類覆蓋率（題目偏多 / 偏少）,
A1 目前 0 題的 L3：,L11401(鑑別式AI與生成式AI的基本原理)
A1 題數最多 L3：,L11202 資料整理與分析流程 = 22 題
A2 題數最多 L3：,L12302 生成式AI導入規劃 = 34 題
,
六、Mapping 品質觀察,
總題數：200（A1 100 / A2 100）,
L3 對應：194,
L2 對應：3,
L1 對應：3,
needs_review：3,
A1 部分題目（如 SHAP、可解釋 AI、評測中心、金融機構作業規範、AI 基本法）集中在 L11102 AI治理概念，符合 115 年版簡章新增的治理重點。,
A2 部分以 L12302 生成式 AI 導入規劃 為大宗（含 RAG、Fine-tuning、Agentic AI、Solution Graph 等），反映實作部署主題比例最高。,
原始綱要無對應之題目（演算法、純統計推論、IoT 感知器網路）已標記 needs_review，建議由命題單位另行檢視。,
每題保留 keywords 欄位記錄判斷依據，confidence 值可作為篩選或人工抽查時的參考。,
